jnxBoxDescr.0                 (1.3.6.1.4.1.2636.3.1.2)       = Juniper MX960 Internet Backbone Router
jnxOperatingDRAMSize.8.1.3.0  (1.3.6.1.4.1.2636.3.1.13.1.10) = 0
jnxOperatingDRAMSize.8.1.4.0  (1.3.6.1.4.1.2636.3.1.13.1.10) = 0
jnxOperatingDRAMSize.8.11.1.0 (1.3.6.1.4.1.2636.3.1.13.1.10) = 0
jnxOperatingDRAMSize.8.11.2.0 (1.3.6.1.4.1.2636.3.1.13.1.10) = 0
jnxOperatingDRAMSize.8.11.3.0 (1.3.6.1.4.1.2636.3.1.13.1.10) = 0
jnxOperatingDRAMSize.8.11.4.0 (1.3.6.1.4.1.2636.3.1.13.1.10) = 0
jnxOperatingDRAMSize.8.12.1.0 (1.3.6.1.4.1.2636.3.1.13.1.10) = 0
jnxOperatingDRAMSize.8.12.2.0 (1.3.6.1.4.1.2636.3.1.13.1.10) = 0
jnxOperatingDRAMSize.8.12.3.0 (1.3.6.1.4.1.2636.3.1.13.1.10) = 0
jnxOperatingDRAMSize.8.12.4.0 (1.3.6.1.4.1.2636.3.1.13.1.10) = 0
jnxOperatingDRAMSize.9.1.0.0  (1.3.6.1.4.1.2636.3.1.13.1.10) = 0
jnxOperatingDRAMSize.9.2.0.0  (1.3.6.1.4.1.2636.3.1.13.1.10) = 0
jnxOperatingDRAMSize.10.1.1.0 (1.3.6.1.4.1.2636.3.1.13.1.10) = 0
jnxOperatingDRAMSize.12.1.0.0 (1.3.6.1.4.1.2636.3.1.13.1.10) = 0
jnxOperatingDRAMSize.12.2.0.0 (1.3.6.1.4.1.2636.3.1.13.1.10) = 0
